INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
214312556,06/17/2020,23:15:00,BRONX,47,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,1026877,262050,40.885846065000067,-73.845839361999936,POINT (-73.84583936199994 40.88584606500007)
209640335,02/14/2020,16:32:00,BROOKLYN,71,0,,false,,,,<18,M,BLACK,997457,181411,40.664606373000026,-73.952396292999936,POINT (-73.95239629299994 40.66460637300003)
212557700,04/30/2020,14:25:00,BROOKLYN,77,0,,false,,,,25-44,M,BLACK,1004196,183865,40.671329440000079,-73.928098051999939,POINT (-73.92809805199994 40.67132944000008)
212170023,04/19/2020,08:50:00,BROOKLYN,75,0,GAS STATION,true,,,,25-44,M,BLACK,1014436,179503,40.659327733000055,-73.891203407999967,POINT (-73.89120340799997 40.659327733000055)
210707456,03/07/2020,18:20:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,false,,,,18-24,M,BLACK,1016807,179007,40.657957922000037,-73.882660123999983,POINT (-73.88266012399998 40.65795792200004)
211912303,04/10/2020,04:39:00,BRONX,44,0,,false,25-44,M,BLACK,65+,M,WHITE HISPANIC,1008249,242113,40.831195316000048,-73.913279519999946,POINT (-73.91327951999995 40.83119531600005)
207815721,01/11/2020,16:00:00,STATEN ISLAND,121,0,,false,<18,M,BLACK,18-24,M,BLACK,940372,170379,40.634227087000056,-74.158089493999967,POINT (-74.15808949399997 40.634227087000056)
209333851,02/10/2020,00:16:00,BRONX,52,0,BAR/NIGHT CLUB,false,,,,18-24,M,BLACK,1017775,262112,40.886055507000037,-73.878756718999966,POINT (-73.87875671899997 40.88605550700004)
214513454,06/23/2020,23:38:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,false,,,,18-24,M,BLACK,1008676,178766,40.65732259300006,-73.911966569999947,POINT (-73.91196656999995 40.65732259300006)
212063437,04/15/2020,22:03:00,BROOKLYN,77,0,,false,,,,18-24,M,BLACK,1005418,184431,40.672880145000079,-73.923691085999963,POINT (-73.92369108599996 40.67288014500008)
214693793,06/28/2020,04:10:00,BROOKLYN,94,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,F,BLACK,1001350,201326,40.719261783000036,-73.938313277999953,POINT (-73.93831327799995 40.719261783000036)
214016091,06/09/2020,17:13:00,BROOKLYN,60,0,,false,,,,<18,M,BLACK,986544,148193,40.573439412000027,-73.991743910999958,POINT (-73.99174391099996 40.57343941200003)
212726820,05/05/2020,22:31:00,BROOKLYN,77,0,,true,18-24,M,BLACK,25-44,M,BLACK,998527,185573,40.676028472000041,-73.948530622999954,POINT (-73.94853062299995 40.67602847200004)
